PGDP_ID;Provider_ID;Provider;Genus;Species;Origin;Sex
PD_0067;1043;Roos;Theropithecus;gelada;captive;M
PD_0199;09SNF1101115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0200;11SNF1101115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0201;19SNM1131115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;M
PD_0202;20SNF1131115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0203;21SNF1151115;Knauf/Chuma/Roos;Papio;anubis;Serengeti, Tanzania;F
PD_0204;03ANM1080815;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;M
PD_0205;05ANF1030116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;F
PD_0206;09ANF1040116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;F
PD_0207;12ANM1050116;Knauf/Chuma/Roos;Papio;anubis;Arusha, Tanzania;M
PD_0208;04NCF1140516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0209;05NCF1150516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0210;09NCF8170516;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0211;12NCF5210317;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0212;18NCF8220317;Knauf/Chuma/Roos;Papio;anubis;Ngorongoro, Tanzania;F
PD_0213;07RUF1090716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0214;09RUF1100716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0215;13RUM1130716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;M
PD_0216;16RUF8140716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;F
PD_0217;17RUM5140716;Knauf/Chuma/Roos;Papio;cynocephalus;Ruaha, Tanzania;M
PD_0218;02GNM1200916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0219;03GNF8200916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
