PGDP_ID Provider_ID Provider Genus Species Origin Sex address longitude latitude callset_index C_origin x_missing
16066 16066_3130 Rogers Papio cynocephalus "Mikumi, Tanzania" F "Mikumi, Kilosa, Morogoro, Coastal Zone, Tanzania" 36.9770319 -7.4048524 0 "Cynocephalus, Central Tanzania" 0.013908330972916093
16098 16098_5026 Rogers Papio cynocephalus "Mikumi, Tanzania" F "Mikumi, Kilosa, Morogoro, Coastal Zone, Tanzania" 36.9770319 -7.4048524 1 "Cynocephalus, Central Tanzania" 0.013825545324800254
30877 30877_3426 "James Else" Papio anubis "Aberdare, Kenya" M "Aberdare National Park, Nyeri, Central Kenya, Kenya" 36.71245079893944 -0.41025125 2 "Anubis, Kenya" 0.015561991398502744
30977 30977_3373 "James Else" Papio anubis "Aberdare, Kenya" F "Aberdare National Park, Nyeri, Central Kenya, Kenya" 36.71245079893944 -0.41025125 3 "Anubis, Kenya" 0.009997564323080228
34449 34449_BZ11022 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" F "Chunga, Mumbwa District, Central Province, Zambia" 26.0052102 -15.0535569 4 "Kindae, Zambia" 0.01349816571634216
34474 34474_BZ11050 Rogers/Jolly/Phillips-Conroy Papio kindae "Chunga, Zambia" F "Chunga, Mumbwa District, Central Province, Zambia" 26.0052102 -15.0535569 5 "Kindae, Zambia" 0.013766705938536104
38168 38168_891096 "Jolly/Bronx Zoo" "Theropithecus " gelada captive M "SDSU Captive Wildlife Research Facility, Brookings County, South Dakota, United States" -96.79328015199039 44.3340306 6 "Gelada, Captive" 0.022163291612103397
97074 97074 Jolly/Phillips-Conroy Papio hamadryas "Awash, Ethiopia" F "አዋሽ / Awash, Zone 3, አፋር ክልል / Afar, ኢትዮጵያ" 40.167674 8.992496 7 "Hamadryas, Ethiopia" 0.01178806053067653
97124 97124 Jolly/Phillips-Conroy Papio hamadryas "Awash, Ethiopia" M "አዋሽ / Awash, Zone 3, አፋር ክልል / Afar, ኢትዮጵያ" 40.167674 8.992496 8 "Hamadryas, Ethiopia" 0.021821202157079268
PD_0067 1043 Roos Theropithecus gelada captive M "SDSU Captive Wildlife Research Facility, Brookings County, South Dakota, United States" -96.79328015199039 44.3340306 9 "Gelada, Captive" 0.024995108120793155
PD_0199 09SNF1101115 Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F "Serengeti, Mara, Lake Zone, Tanzania" 34.74254365165897 -1.9966259 10 "Anubis, Tanzania" 0.003591255098843327
PD_0200 11SNF1101115 Knauf/Chuma/Roos Papio anubis "Serengeti, Tanzania" F "Serengeti, Mara, Lake Zone, Tanzania" 34.74254365165897 -1.9966259 11 "Anubis, Tanzania" 0.004100284207919234
