genus,n,sex,s_het,average_het,singletons,all_shared_het,above_hw,weight_above_hw,total_het,both_f_m,het_all,above_hw_m_f
Atele_fusciceps,14,male,77537,13911,0.56692,0.00391,0.08035,0.32113,399595,0.09170,0.00002,0.01480
Atele_fusciceps,14,female,358702,44904,0.60347,0.00005,0.00846,0.04430,399595,0.09170,0.00002,0.01480
Aotus_nancymaae,6,male,24786,10411,0.47745,0.12620,0.28439,0.58724,105367,0.08476,0.00357,0.03517
Aotus_nancymaae,6,female,89512,24792,0.67284,0.00932,0.10333,0.27153,105367,0.08476,0.00357,0.03517
Pithecia_pithecia,21,male,127094,15714,0.49876,0.00089,0.01618,0.09121,686421,0.08702,0.00000,0.00279
Pithecia_pithecia,21,female,619062,45311,0.67526,0.00000,0.00121,0.01041,686421,0.08702,0.00000,0.00279
Cebus_albifrons,7,male,18654,4522,0.68409,0.00236,0.06588,0.21732,60073,0.10238,0.00017,0.01706
Cebus_albifrons,7,female,47569,9177,0.72722,0.00080,0.00423,0.01785,60073,0.10238,0.00017,0.01706
Cercopithecus_mitis,1,male,21040,21040,1.00000,1.00000,0.00000,0.00000,143761,0.01579,0.01579,0.00000
Cercopithecus_mitis,1,female,124991,124991,1.00000,1.00000,0.00000,0.00000,143761,0.01579,0.01579,0.00000
Gorilla_gorilla_gorilla,5,male,178461,114810,0.24684,0.35279,0.49659,0.72719,551534,0.03205,0.00022,0.00588
Gorilla_gorilla_gorilla,5,female,390747,153233,0.41177,0.01328,0.08673,0.18371,551534,0.03205,0.00022,0.00588
Hoolock_hoolock,3,male,6034,3733,0.45641,0.31256,0.31256,0.50518,27102,0.13350,0.01978,0.05985
Hoolock_hoolock,3,female,24686,10467,0.76663,0.03873,0.03873,0.09133,27102,0.13350,0.01978,0.05985
Macaca_mulatta,29,male,176737,23372,0.46660,0.00154,0.05468,0.29928,1916367,0.04192,0.00000,0.00266
Macaca_mulatta,29,female,1819955,121955,0.52617,0.00001,0.00207,0.02136,1916367,0.04192,0.00000,0.00266
Nycticebus_pygmaeus,1,male,76282,76282,1.00000,1.00000,0.00000,0.00000,180589,0.14099,0.14099,0.00000
Nycticebus_pygmaeus,1,female,129768,129768,1.00000,1.00000,0.00000,0.00000,180589,0.14099,0.14099,0.00000
Pan_troglodytes,2,male,17047,11423,0.65976,0.34024,0.34024,0.50773,250509,0.02289,0.00325,0.01007
Pan_troglodytes,2,female,239197,123067,0.97099,0.02901,0.02901,0.05638,250509,0.02289,0.00325,0.01007
Pygathrix_nemaeus,3,male,2277,1290,0.54721,0.24726,0.24726,0.43632,21480,0.05005,0.00279,0.01769
Pygathrix_nemaeus,3,female,20278,8559,0.76166,0.02801,0.02801,0.06636,21480,0.05005,0.00279,0.01769
Sapajus_apella,3,male,816,411,0.64216,0.15441,0.15441,0.30632,4607,0.06707,0.00369,0.02040
Sapajus_apella,3,female,4100,1575,0.85683,0.00927,0.00927,0.02413,4607,0.06707,0.00369,0.02040
Rhinopithecus_roxellana,4,male,54115,29342,0.41719,0.21756,0.36855,0.61007,319596,0.05036,0.00073,0.02249
Rhinopithecus_roxellana,4,female,281576,114378,0.53719,0.00187,0.16015,0.29684,319596,0.05036,0.00073,0.02249
Trachypithecus_phayrei,1,male,10339,10339,1.00000,1.00000,0.00000,0.00000,26935,0.14401,0.14401,0.00000
Trachypithecus_phayrei,1,female,20475,20475,1.00000,1.00000,0.00000,0.00000,26935,0.14401,0.14401,0.00000
