,genus,n,sex,s_het,average_het,singletons,all_shared_het,above_hw,total_het,both_f_m,het_all
0,Atele_fusciceps,14,male,77537.0,194764.0,0.5669164398932123,0.003907811754388228,0.08034873673214078,399595.0,0.09170284913474894,1.501520289292909e-05
1,Atele_fusciceps,14,female,358702.0,628657.0,0.6034730779309845,5.018093013141828e-05,0.008458274556595726,399595.0,0.09170284913474894,1.501520289292909e-05
2,Aotus_nancymaae,6,male,24786.0,62470.0,0.4774469458565319,0.1262002743484225,0.28439441620269507,105367.0,0.08476088338853721,0.0035684796947810984
3,Aotus_nancymaae,6,female,89512.0,148752.0,0.6728371614978997,0.009317186522477433,0.10332692823308606,105367.0,0.08476088338853721,0.0035684796947810984
4,Pithecia_pithecia,21,male,127094.0,329998.0,0.49876469384864747,0.0008891057012919572,0.016184871040332352,686421.0,0.087023852708469,0.0
5,Pithecia_pithecia,21,female,619062.0,951547.0,0.6752586978364041,1.6153470896291486e-06,0.0012050489288633448,686421.0,0.087023852708469,0.0
6,Cebus_albifrons,7,male,18654.0,31659.0,0.6840892033880133,0.002358743433043851,0.06588399270933848,60073.0,0.10237544321076024,0.00016646413530204917
7,Cebus_albifrons,7,female,47569.0,64242.0,0.7272173053879627,0.0007988395803989993,0.004225440938426286,60073.0,0.10237544321076024,0.00016646413530204917
8,Cercopithecus_mitis,1,male,21040.0,21040.0,1.0,1.0,0.0,143761.0,0.01579009606221437,0.01579009606221437
9,Cercopithecus_mitis,1,female,124991.0,124991.0,1.0,1.0,0.0,143761.0,0.01579009606221437,0.01579009606221437
10,Gorilla_gorilla_gorilla,5,male,178461.0,574053.0,0.24684384823574898,0.35279416791343765,0.4965902914362242,551534.0,0.032045168566217135,0.00022482748117069845
11,Gorilla_gorilla_gorilla,5,female,390747.0,766168.0,0.4117702759074286,0.013279692486442634,0.08673131207661224,551534.0,0.032045168566217135,0.00022482748117069845
12,Hoolock_hoolock,3,male,6034.0,11200.0,0.4564136559496188,0.3125621478289692,0.3125621478289692,27102.0,0.13349568297542616,0.019777138218581656
13,Hoolock_hoolock,3,female,24686.0,31403.0,0.7666288584622863,0.03872640362958762,0.03872640362958762,27102.0,0.13349568297542616,0.019777138218581656
14,Macaca_mulatta,29,male,176737.0,677815.0,0.4665972603359794,0.001539009941325246,0.05468011791532051,1916367.0,0.041915249010236556,2.0872828638773263e-06
15,Macaca_mulatta,29,female,1819955.0,3536695.0,0.5261723504152576,1.3187139242453797e-05,0.0020714797893354505,1916367.0,0.041915249010236556,2.0872828638773263e-06
16,Nycticebus_pygmaeus,1,male,76282.0,76282.0,1.0,1.0,0.0,180589.0,0.14098865379397416,0.14098865379397416
17,Nycticebus_pygmaeus,1,female,129768.0,129768.0,1.0,1.0,0.0,180589.0,0.14098865379397416,0.14098865379397416
18,Pan_troglodytes,2,male,17047.0,22847.0,0.6597641813808881,0.34023581861911184,0.34023581861911184,250509.0,0.022893389059874095,0.0032493842536595492
19,Pan_troglodytes,2,female,239197.0,246135.0,0.9709946194977361,0.029005380502263825,0.029005380502263825,250509.0,0.022893389059874095,0.0032493842536595492
20,Pygathrix_nemaeus,3,male,2277.0,3871.0,0.5472112428634168,0.24725516029863856,0.24725516029863856,21480.0,0.050046554934823094,0.002793296089385475
21,Pygathrix_nemaeus,3,female,20278.0,25679.0,0.761662885886182,0.028010651938060953,0.028010651938060953,21480.0,0.050046554934823094,0.002793296089385475
22,Sapajus_apella,3,male,816.0,1234.0,0.6421568627450981,0.15441176470588236,0.15441176470588236,4607.0,0.06707184718906013,0.0036900369003690036
23,Sapajus_apella,3,female,4100.0,4725.0,0.8568292682926829,0.009268292682926829,0.009268292682926829,4607.0,0.06707184718906013,0.0036900369003690036
24,Rhinopithecus_roxellana,4,male,54115.0,117371.0,0.41718562320983094,0.21755520650466598,0.36854846160953525,319596.0,0.050360455074531595,0.0007290454198425512
25,Rhinopithecus_roxellana,4,female,281576.0,457513.0,0.5371871182203029,0.001868056936670739,0.16014859220956332,319596.0,0.050360455074531595,0.0007290454198425512
26,Trachypithecus_phayrei,1,male,10339.0,10339.0,1.0,1.0,0.0,26935.0,0.14401336550956007,0.14401336550956007
27,Trachypithecus_phayrei,1,female,20475.0,20475.0,1.0,1.0,0.0,26935.0,0.14401336550956007,0.14401336550956007
genus	n	sex	s_het	average_het	singletons	all_shared_het	above_hw	total_het	both_f_m	het_all
Atele_fusciceps	14	male	77537.0	194764.0	0.5669164398932123	0.003907811754388228	0.08034873673214078	399595.0	0.09170284913474894	1.501520289292909e-05
Atele_fusciceps	14	female	358702.0	628657.0	0.6034730779309845	5.018093013141828e-05	0.008458274556595726	399595.0	0.09170284913474894	1.501520289292909e-05
Aotus_nancymaae	6	male	24786.0	62470.0	0.4774469458565319	0.1262002743484225	0.28439441620269507	105367.0	0.08476088338853721	0.0035684796947810984
Aotus_nancymaae	6	female	89512.0	148752.0	0.6728371614978997	0.009317186522477433	0.10332692823308606	105367.0	0.08476088338853721	0.0035684796947810984
Pithecia_pithecia	21	male	127094.0	329998.0	0.49876469384864747	0.0008891057012919572	0.016184871040332352	686421.0	0.087023852708469	0.0
Pithecia_pithecia	21	female	619062.0	951547.0	0.6752586978364041	1.6153470896291486e-06	0.0012050489288633448	686421.0	0.087023852708469	0.0
Cebus_albifrons	7	male	18654.0	31659.0	0.6840892033880133	0.002358743433043851	0.06588399270933848	60073.0	0.10237544321076024	0.00016646413530204917
Cebus_albifrons	7	female	47569.0	64242.0	0.7272173053879627	0.0007988395803989993	0.004225440938426286	60073.0	0.10237544321076024	0.00016646413530204917
Cercopithecus_mitis	1	male	21040.0	21040.0	1.0	1.0	0.0	143761.0	0.01579009606221437	0.01579009606221437
Cercopithecus_mitis	1	female	124991.0	124991.0	1.0	1.0	0.0	143761.0	0.01579009606221437	0.01579009606221437
Gorilla_gorilla_gorilla	5	male	178461.0	574053.0	0.24684384823574898	0.35279416791343765	0.4965902914362242	551534.0	0.032045168566217135	0.00022482748117069845
Gorilla_gorilla_gorilla	5	female	390747.0	766168.0	0.4117702759074286	0.013279692486442634	0.08673131207661224	551534.0	0.032045168566217135	0.00022482748117069845
Hoolock_hoolock	3	male	6034.0	11200.0	0.4564136559496188	0.3125621478289692	0.3125621478289692	27102.0	0.13349568297542616	0.019777138218581656
Hoolock_hoolock	3	female	24686.0	31403.0	0.7666288584622863	0.03872640362958762	0.03872640362958762	27102.0	0.13349568297542616	0.019777138218581656
Macaca_mulatta	29	male	176737.0	677815.0	0.4665972603359794	0.001539009941325246	0.05468011791532051	1916367.0	0.041915249010236556	2.0872828638773263e-06
Macaca_mulatta	29	female	1819955.0	3536695.0	0.5261723504152576	1.3187139242453797e-05	0.0020714797893354505	1916367.0	0.041915249010236556	2.0872828638773263e-06
Nycticebus_pygmaeus	1	male	76282.0	76282.0	1.0	1.0	0.0	180589.0	0.14098865379397416	0.14098865379397416
Nycticebus_pygmaeus	1	female	129768.0	129768.0	1.0	1.0	0.0	180589.0	0.14098865379397416	0.14098865379397416
Pan_troglodytes	2	male	17047.0	22847.0	0.6597641813808881	0.34023581861911184	0.34023581861911184	250509.0	0.022893389059874095	0.0032493842536595492
Pan_troglodytes	2	female	239197.0	246135.0	0.9709946194977361	0.029005380502263825	0.029005380502263825	250509.0	0.022893389059874095	0.0032493842536595492
Pygathrix_nemaeus	3	male	2277.0	3871.0	0.5472112428634168	0.24725516029863856	0.24725516029863856	21480.0	0.050046554934823094	0.002793296089385475
Pygathrix_nemaeus	3	female	20278.0	25679.0	0.761662885886182	0.028010651938060953	0.028010651938060953	21480.0	0.050046554934823094	0.002793296089385475
Sapajus_apella	3	male	816.0	1234.0	0.6421568627450981	0.15441176470588236	0.15441176470588236	4607.0	0.06707184718906013	0.0036900369003690036
Sapajus_apella	3	female	4100.0	4725.0	0.8568292682926829	0.009268292682926829	0.009268292682926829	4607.0	0.06707184718906013	0.0036900369003690036
Rhinopithecus_roxellana	4	male	54115.0	117371.0	0.41718562320983094	0.21755520650466598	0.36854846160953525	319596.0	0.050360455074531595	0.0007290454198425512
Rhinopithecus_roxellana	4	female	281576.0	457513.0	0.5371871182203029	0.001868056936670739	0.16014859220956332	319596.0	0.050360455074531595	0.0007290454198425512
Trachypithecus_phayrei	1	male	10339.0	10339.0	1.0	1.0	0.0	26935.0	0.14401336550956007	0.14401336550956007
Trachypithecus_phayrei	1	female	20475.0	20475.0	1.0	1.0	0.0	26935.0	0.14401336550956007	0.14401336550956007
genus	n	sex	s_het	average_het	singletons	all_shared_het	above_hw	total_het	both_f_m	het_all
Atele_fusciceps	14	male	77537.00000	194764.00000	0.56692	0.00391	0.08035	399595.00000	0.09170	0.00002
