individual,pop,C_origin,chrom,pos,paint,paint_length,end_pos,haplotype,Ancestry Counts,Mean Fragment,Ancestry Percentage,Fragment Percentage,population,"Population, Donor","Population, Recipient",Ancestry Fragment Ratio
PD_0721,anubis_tanzania,anubis_ethiopia,chr8,3946908464711,4383767,2243785588,3949152190838,81205,59461,37735.41628966886,0.7993973777659477,0.4185714185151031,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9098231326970152
PD_0721,anubis_tanzania,anubis_ethiopia,chrX,1930327789262,1947679,2232437660,1932560200311,36457,26611,83891.53583104731,0.7905705953608666,0.4209202638363835,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8781956187031434
PD_0724,anubis_tanzania,anubis_ethiopia,chr8,3839839374173,4270975,2220199888,3842059515733,79855,58328,38064.049650253735,0.7909944595755424,0.4158029056587633,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9023302839174656
PD_0724,anubis_tanzania,anubis_ethiopia,chrX,1969877653585,1967242,2203584895,1972081211576,36762,26904,81905.47483645554,0.7803529986894966,0.4224078377190228,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8473923280007216
PD_0726,anubis_tanzania,anubis_ethiopia,chr8,3854747097794,4301400,2249604710,3856996644015,80092,58489,38462.01354100771,0.8014705664398469,0.41354271250194435,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9380599444998772
PD_0726,anubis_tanzania,anubis_ethiopia,chrX,1968697213477,1981074,2216461171,1970913647722,36878,26926,82316.76338854639,0.7849128595831489,0.41936237481894495,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8716816450737297
PD_0730,anubis_tanzania,anubis_ethiopia,chr8,3853407642227,4241545,2244458345,3855652042388,79970,58184,38575.181235391174,0.7996370620675806,0.4160041182863353,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9221854470132695
PD_0730,anubis_tanzania,anubis_ethiopia,chrX,1911055785657,1921183,2209546403,1913265305620,36219,26440,83568.32083963692,0.7824641406995309,0.4226612954792506,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8512793791830504
PD_0736,anubis_tanzania,anubis_ethiopia,chr8,3853431051763,4299939,2244566553,3855675559973,79767,58343,38471.90842089025,0.7996756135191613,0.4180915253751451,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9126807528605811
PD_0736,anubis_tanzania,anubis_ethiopia,chrX,1919548395831,1905434,2216405624,1921764775237,35679,26218,84537.55526737357,0.7848931887875665,0.4191928882067025,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8723914714901808
PD_0737,anubis_tanzania,anubis_ethiopia,chr8,3856360649508,4256456,2263184443,3858623775578,79734,58373,38771.0832576705,0.8063086414364147,0.41643540482118524,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9362153940360536
PD_0737,anubis_tanzania,anubis_ethiopia,chrX,1949282053484,1940274,2218838287,1951500865005,37511,26766,82897.6420458791,0.7857546649535896,0.41967449590767975,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8722954876115236
PD_0738,anubis_tanzania,anubis_ethiopia,chr8,3837423565444,4274383,2215254671,3839638761620,80029,58495,37870.8380374391,0.7892326185496326,0.41669041173956406,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8940503460466265
PD_0738,anubis_tanzania,anubis_ethiopia,chrX,1950762825052,1949429,2208033976,1952970832443,36419,26585,83055.63197291706,0.7819285466557402,0.4207485953944765,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8584222388731595
PD_0744,anubis_tanzania,anubis_ethiopia,chr8,3872768506981,4306363,2242719674,3875011167909,80060,58746,38176.55115241889,0.7990176227389606,0.41676835324498424,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.9171744123990218
PD_0744,anubis_tanzania,anubis_ethiopia,chrX,1926997101948,1926773,2216526805,1929213602252,36254,26501,83639.36474095317,0.7849361024765052,0.42099159637166594,"Gog Woreda, Gambella region, Ethiopia","Anubis, Tanzania","Anubis, Ethiopia",1.8644935177839903
PD_0721,cyno_central,anubis_ethiopia,chr8,1391934418239,1919954,87863400,1392022260610,30045,21029,4178.201531218793,0.03130324570103289,0.14803212794864035,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.21146251246144035
PD_0721,cyno_central,anubis_ethiopia,chrX,590366152995,722519,52404567,590418549646,11186,7916,6620.081733198585,0.0185579693781095,0.1252115594501827,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.14821290829376713
PD_0724,cyno_central,anubis_ethiopia,chr8,1358677378875,1889212,80461577,1358757819787,29318,20665,3893.616114202758,0.028666185400560155,0.14731461811545646,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.1945915874967228
PD_0724,cyno_central,anubis_ethiopia,chrX,595276833459,733614,54135368,595330960781,11350,8046,6728.233656475267,0.01917089595677203,0.1263266972304214,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.15175648835181757
PD_0726,cyno_central,anubis_ethiopia,chr8,1387453341051,1946555,80978593,1387534298451,30047,21193,3821.006605954796,0.028850383586373193,0.14984374337146655,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.19253645789435692
PD_0726,cyno_central,anubis_ethiopia,chrX,602078091090,738059,45442050,602123525092,11476,8048,5646.377982107356,0.016092341195730532,0.12534458859625897,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.1283848100340793
PD_0730,cyno_central,anubis_ethiopia,chr8,1385506831998,1939549,80952329,1385587763214,30194,21113,3834.2409415999623,0.02884102646560286,0.15095378367557055,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.19105865227987867
PD_0730,cyno_central,anubis_ethiopia,chrX,560814712248,679454,44346498,560859051179,10744,7567,5860.512488436632,0.015704374618921938,0.12096361659952683,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.12982725765313607
PD_0736,cyno_central,anubis_ethiopia,chr8,1360993531373,1869070,74811488,1361068322331,29168,20530,3644.0081831466146,0.02665321840634296,0.14711994611095983,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.18116658625092716
PD_0736,cyno_central,anubis_ethiopia,chrX,608785091592,719523,51790185,608836873807,11206,7970,6498.141154328733,0.018340398983100574,0.12743028907649015,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.143924957841787
PD_0737,cyno_central,anubis_ethiopia,chr8,1406506056334,1950883,85819693,1406591854674,30270,21353,4019.0930080082426,0.030575130668358073,0.15233318827448938,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.20071220864401987
PD_0737,cyno_central,anubis_ethiopia,chrX,592603232614,716516,50353733,592653578320,11575,8027,6273.045097794942,0.017831709879169533,0.12585844648624916,"Gog Woreda, Gambella region, Ethiopia","Cynocephalus, Central Tanzania","Anubis, Ethiopia",0.1416806768000093
