individual,pop,C_origin,chrom,pos,paint,paint_length,end_pos,haplotype,Ancestry Counts,Mean Fragment,Ancestry Percentage,Fragment Percentage,population,"Population, Donor","Population, Recipient",Ancestry Fragment Ratio
PD_0205,anubis_ethiopia,anubis_tanzania,chr8,4475158506751,10677206,1513600414,4476672039767,91282,67398,22457.64583518799,0.5392530411141284,0.2954588296151469,"Arusha, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.8251376742287184
PD_0205,anubis_ethiopia,anubis_tanzania,chrX,2004564278533,4306177,1471880414,2006036131752,37639,27195,54123.19963228535,0.5212353276623988,0.30355627985890965,"Arusha, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.7170961770405953
PD_0205,cyno_central,anubis_tanzania,chr8,3361494209476,4508757,434487288,3361928645111,70891,51653,8411.656399434689,0.1547955386456641,0.2264360207441049,"Arusha, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.6836171124054434
PD_0205,cyno_central,anubis_tanzania,chrX,1463711988823,1606561,483312798,1464195282134,26997,19487,24801.806229794223,0.17115500840475262,0.21751797115685134,"Arusha, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.7868545642205048
PD_0205,cyno_western,anubis_tanzania,chr8,1394233777805,2193563,251971632,1394485726709,31254,22728,11086.397043294617,0.08977036975789968,0.0996348301061316,"Arusha, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.9009938558862974
PD_0205,cyno_western,anubis_tanzania,chrX,548315716059,724725,188898842,548504607323,10672,7578,24927.268672472943,0.06689453087927136,0.08458722150287985,"Arusha, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.7908349475339354
PD_0205,hamadryas,anubis_tanzania,chr8,2342807315980,4238264,347035277,2343154316560,47797,34697,10001.881344208434,0.1236388592162039,0.1521044394664048,"Arusha, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",0.8128550333569449
PD_0205,hamadryas,anubis_tanzania,chrX,1240482887206,2072639,544544018,1241027414496,23527,16728,32552.846604495462,0.1928387503149622,0.18672143590659465,"Arusha, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",1.0327617146829766
PD_0205,kindae,anubis_tanzania,chr8,1451825088223,3228507,97485550,1451922551435,31328,22338,4364.112722714655,0.034731345747493585,0.0979251511312376,"Arusha, Tanzania","Kindae, Zambia","Anubis, Tanzania",0.3546723731980483
PD_0205,kindae,anubis_tanzania,chrX,532139886066,1020692,38342145,532178221182,9760,7029,5454.8506188647025,0.013578059958038279,0.07845916863865696,"Arusha, Tanzania","Kindae, Zambia","Anubis, Tanzania",0.1730589323546356
PD_0205,papio,anubis_tanzania,chr8,1389863408943,1654134,130375206,1389993762853,28957,21296,6122.0513711495105,0.04644900045685437,0.09335723961370022,"Arusha, Tanzania","Papio, Senegal","Anubis, Tanzania",0.4975404226716013
PD_0205,papio,anubis_tanzania,chrX,626501962965,688885,83385832,626585339927,12360,8870,9400.88297632469,0.02952932932017515,0.09900879582086887,"Arusha, Tanzania","Papio, Senegal","Anubis, Tanzania",0.2982495552577059
PD_0205,ursinus,anubis_tanzania,chr8,541046957656,1101513,31890953,541078840606,11154,8003,3984.8747969511433,0.011361845061756,0.035083489323273986,"Arusha, Tanzania","Ursinus, Zambia","Anubis, Tanzania",0.3238516259618076
PD_0205,ursinus,anubis_tanzania,chrX,191936551816,371676,13466831,191950015946,3743,2701,4985.868567197334,0.004768993460401566,0.03014912711523865,"Arusha, Tanzania","Ursinus, Zambia","Anubis, Tanzania",0.1581801503629972
PD_0206,anubis_ethiopia,anubis_tanzania,chr8,4443492261442,10469855,1462840456,4444955035799,89362,66099,22131.05275420203,0.5211687029591274,0.2863573152187569,"Arusha, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.819994375072944
PD_0206,anubis_ethiopia,anubis_tanzania,chrX,1998153407979,4289502,1422646861,1999576027762,37287,27078,52538.84559420931,0.5038003058455115,0.30101717525429383,"Arusha, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.6736596688209242
PD_0206,cyno_central,anubis_tanzania,chr8,3335600814380,4685287,454096338,3336054857363,72678,53355,8510.848805172898,0.1617816888528475,0.2311471361669129,"Arusha, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.6999078229376109
PD_0206,cyno_central,anubis_tanzania,chrX,1490845782529,1691939,499902193,1491345664660,27902,20062,24917.86427076064,0.1770297918832873,0.22302262242232224,"Arusha, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.793775043807253
PD_0206,cyno_western,anubis_tanzania,chr8,1437573847352,2169725,247643300,1437821467889,31186,22763,10879.203092738217,0.08822830741941012,0.09861498004999417,"Arusha, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.8946744944295647
PD_0206,cyno_western,anubis_tanzania,chrX,526770182861,726293,210304508,526980479936,10420,7433,28293.355038342528,0.07447489489880499,0.08263020399088432,"Arusha, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.9013035343228848
PD_0206,hamadryas,anubis_tanzania,chr8,2358751555866,4321907,376074793,2359127595066,48742,35593,10565.976259376845,0.1339848178791634,0.1541977325009639,"Arusha, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",0.8689156170200224
PD_0206,hamadryas,anubis_tanzania,chrX,1256183525168,2065672,556549527,1256740057984,23430,16711,33304.38196397582,0.19709024748677584,0.18577066310933246,"Arusha, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",1.0609331106859508
PD_0206,kindae,anubis_tanzania,chr8,1464880641774,3291464,100787992,1464981406983,31647,22783,4423.824430496423,0.03590791247879934,0.09870162502653504,"Arusha, Tanzania","Kindae, Zambia","Anubis, Tanzania",0.3638026473135152
PD_0206,kindae,anubis_tanzania,chrX,513497515495,1016295,38795686,513536304253,9763,6928,5599.839203233257,0.013738671913666444,0.07701628592073814,"Arusha, Tanzania","Kindae, Zambia","Anubis, Tanzania",0.17838658083052325
PD_0206,papio,anubis_tanzania,chr8,1476283291668,1696677,129435635,1476412705444,29497,21859,5921.388672857863,0.04611425786930864,0.09469862711034673,"Arusha, Tanzania","Papio, Senegal","Anubis, Tanzania",0.48695804022136896
PD_0206,papio,anubis_tanzania,chrX,646421100215,693086,78549354,646499640642,12244,8927,8799.076285426236,0.027816592897376348,0.09923850814296037,"Arusha, Tanzania","Papio, Senegal","Anubis, Tanzania",0.2803003936466326
PD_0206,ursinus,anubis_tanzania,chr8,542930820961,1152360,35967806,542966780392,11491,8375,4294.663402985075,0.012814312541343551,0.0362825839264904,"Arusha, Tanzania","Ursinus, Zambia","Anubis, Tanzania",0.3531808144454577
PD_0206,ursinus,anubis_tanzania,chrX,203947199457,387742,17082751,203964279392,3850,2816,6066.317826704545,0.0060494950745775536,0.031304541159468624,"Arusha, Tanzania","Ursinus, Zambia","Anubis, Tanzania",0.1932465658500085
PD_0219,anubis_ethiopia,anubis_tanzania,chr8,4273163912863,10256553,1471855315,4274635703446,88460,64732,22737.677114873637,0.524380442389165,0.2854572554968558,"Gombe, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.836984109850173
PD_0219,anubis_ethiopia,anubis_tanzania,chrX,2147596024259,4485575,1700005707,2149296001650,39337,28316,60036.92989829072,0.602021076772133,0.3173727863707689,"Gombe, Tanzania","Anubis, Ethiopia","Anubis, Tanzania",1.8968894077415488
PD_0219,cyno_central,anubis_tanzania,chr8,3074940004517,4041781,359039186,3075298997126,64875,46577,7708.508190737917,0.1279155126668994,0.20539675259959608,"Gombe, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.6227728094429034
PD_0219,cyno_central,anubis_tanzania,chrX,1320671716401,1405121,242176370,1320913875872,23904,16899,14330.81069885792,0.08576164093793039,0.1894082044384667,"Gombe, Tanzania","Cynocephalus, Central Tanzania","Anubis, Tanzania",0.45278736046406
PD_0219,cyno_western,anubis_tanzania,chr8,1925777347712,2898395,374685345,1926152002576,40685,30481,12292.42298481021,0.13348979683362214,0.13441609412345767,"Gombe, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.9931087322848056
PD_0219,cyno_western,anubis_tanzania,chrX,739556718546,937696,309857981,739866566711,13206,9816,31566.62398125509,0.10972965243584276,0.11002017484868863,"Gombe, Tanzania","Cynocephalus, Western Tanzania","Anubis, Tanzania",0.9973593714675928
PD_0219,hamadryas,anubis_tanzania,chr8,1869515294826,3506799,252019649,1869767285939,39699,28536,8831.638947294645,0.0897874768576571,0.12583897056878016,"Gombe, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",0.7135108977117841
PD_0219,hamadryas,anubis_tanzania,chrX,1083607144320,1829029,422166489,1084029296199,20813,14610,28895.72135523614,0.14950133592986276,0.16375252185608608,"Gombe, Tanzania","Hamadryas, Ethiopia","Anubis, Tanzania",0.9129711972390387
PD_0219,kindae,anubis_tanzania,chr8,1726048099530,3678501,164300088,1726212374442,34483,25176,6526.060057197332,0.058535476926289284,0.11102193450517274,"Gombe, Tanzania","Kindae, Zambia","Anubis, Tanzania",0.5272424515676405
